"Código Departamento","Nombre Departamento","longitud","Latitud"
"05","ANTIOQUIA","-75,504557037","6,702032125"
"08","ATLÁNTICO","-74,965219492","10,677009534"
"11","BOGOTÁ, D.C.","-74,181072702","4,316107698"
"13","BOLÍVAR","-74,235148136","8,079796863"
"15","BOYACÁ","-72,627880544","5,891672889"
"17","CALDAS","-75,274983037","5,280139978"
"18","CAQUETÁ","-73,959467561","0,798556195"
"19","CAUCA","-76,824232828","2,396833887"
"20","CESAR","-73,517831544","9,53665993"
"23","CÓRDOBA","-75,792008718","8,358549754"
"25","CUNDINAMARCA","-74,431110916","4,771120716"
"27","CHOCÓ","-76,942811002","5,397581542"
"41","HUILA","-75,584348363","2,570143029"
"44","LA GUAJIRA","-72,429510724","11,476870077"
"47","MAGDALENA","-74,26175733","10,24738355"
"50","META","-72,95645988","3,345562732"
"52","NARIÑO","-77,87020496","1,571094987"
"54","NORTE DE SANTANDER","-72,881882969","8,09513751"
"63","QUINDÍO","-75,689628528","4,455241567"
"66","RISARALDA","-76,002444694","5,240757239"
"68","SANTANDER","-73,486008938","6,693633184"
"70","SUCRE","-75,109817552","9,064941448"
"73","TOLIMA","-75,255827095","4,03477252"
"76","VALLE DEL CAUCA","-76,62850427","3,569858693"
"81","ARAUCA","-70,967323937","6,569577215"
"85","CASANARE","-71,601880726","5,404064237"
"86","PUTUMAYO","-75,514061833","0,3673031"
"88","ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA","-81,717623824","12,543115116"
"91","AMAZONAS","-71,502128578","-1,54622768"
"94","GUAINÍA","-68,816612721","2,727842865"
"95","GUAVIARE","-72,128595691","1,924531973"
"97","VAUPÉS","-70,561405657","0,64624561"
"99","VICHADA","-69,41400011","4,713557125"
